baseUrl,path,restParameters,type,httpResponse,expectedOut,expected
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICnedmediationhandlers_CXP9032962::1.0.5@@ERICps_CXP9030203::3.12.1"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,OK,Success,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICnedmediationhandlers_CXP9032962::1.0.5@@ERICps_CXP9030203::3.11.1"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICnedmediationhandlers_CXP9032962::1.0.5@@ERICps_CXP9030203::3.12.1"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""false""}",POST,CREATED,deliveryGroup,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1@@ERICactivityserviceui_CXP9031439::1.19.2"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""false""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.2@@ERICactivityserviceui_CXP9031439::1.19.2"",""jiraIssues"":""C14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1@@ERICactivityserviceui_CXP9031439::9999.19.2"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1@@ERICactivityserviceui_CXP9fsd::1.19.1"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1@@ERICactivityserviceui_CXP9031439::1.19.2"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhdya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrgffdg"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1@@ERICactivityserviceui_CXP9031439::1.19.2"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::latest"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1@@ERICaddnodebootstraphandlers_CXP9031419::1.9.1"",""jiraIssues"": ""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
ciportal,api/createDeliveryGroup/,"{""creator"":""eavrbra"",""drop"":""16.5"",""artifacts"":""ERICaddnodebootstraphandlers_CXP9031419::1.9.1"",""jiraIssues"":""CIP-14500"",""missingDependencies"":""false"",""team"":""Abhedya"",""validateOnly"":""true""}",POST,NOT_FOUND,Failure,TRUE
